Pixels,Value
0, 60416
0.1, 60416
0.2, 60416
0.3, 60416
0.4, 60416
0.5, 60416
0.6, 60416
0.7, 59968
0.8, 59968
0.9, 59968
1, 59968
1.1, 59968
1.2, 59968
1.3, 59968
1.4, 59968
1.5, 59968
1.6, 59968
1.7, 60928
1.8, 60928
1.9, 60928
2, 60928
2.1, 60928
2.2, 60928
2.3, 60928
2.4, 60928
2.5, 60928
2.6, 60928
2.7, 60096
2.8, 60096
2.9, 60096
3, 60096
3.1, 60096
3.2, 60096
3.3, 60096
3.4, 60096
3.5, 60096
3.6, 60096
3.7, 60608
3.8, 60608
3.9, 60608
4, 60608
4.1, 60608
4.2, 60608
4.3, 60608
4.4, 60608
4.5, 60608
4.6, 60608
4.7, 60352
4.8, 60352
4.9, 60352
5, 60352
5.1, 60352
5.2, 60352
5.3, 60352
5.4, 60352
5.5, 60352
5.6, 60352
5.7, 60224
5.8, 60224
5.9, 60224
6, 60224
6.1, 60224
6.2, 60224
6.3, 60224
6.4, 60224
6.5, 60224
6.6, 60224
6.7, 59072
6.8, 59072
6.9, 59072
7, 59072
7.1, 59072
7.2, 59072
7.3, 59072
7.4, 59072
7.5, 59072
7.6, 59072
7.7, 59456
7.8, 59456
7.9, 59456
8, 59456
8.1, 59456
8.2, 59456
8.3, 59456
8.4, 59456
8.5, 59456
8.6, 59456
8.7, 58368
8.8, 58368
8.9, 58368
9, 58368
9.1, 58368
9.2, 58368
9.3, 58368
9.4, 58368
9.5, 58368
9.6, 58368
9.7, 57984
9.8, 57984
9.9, 57984
10, 57984
10.1, 57984
10.2, 57984
10.3, 57984
10.4, 57984
10.5, 57984
10.6, 57984
10.7, 59008
10.8, 59008
10.9, 59008
11, 59008
11.1, 59008
11.2, 59008
11.3, 59008
11.4, 59008
11.5, 59008
11.6, 59008
11.7, 48320
11.8, 48320
11.9, 48320
12, 48320
12.1, 48320
12.2, 48320
12.3, 48320
12.4, 48320
12.5, 48320
12.6, 48320
12.7, 18304
12.8, 18304
12.9, 18304
13, 18304
13.1, 18304
13.2, 18304
13.3, 18304
13.4, 18304
13.5, 18304
13.6, 18304
13.7, 11200
13.8, 11200
13.9, 11200
14, 11200
14.1, 11200
14.2, 11200
14.3, 11200
14.4, 11200
14.5, 11200
14.6, 11200
14.7, 9792
14.8, 9792
14.9, 9792
15, 9792
15.1, 9792
15.2, 9792
15.3, 9792
15.4, 9792
15.5, 9792
15.6, 9792
15.7, 9536
15.8, 9536
15.9, 9536
16, 9536
16.1, 9536
16.2, 9536
16.3, 9536
16.4, 9536
16.5, 9536
16.6, 9536
16.7, 9408
16.8, 9408
16.9, 9408
17, 9408
17.1, 9408
17.2, 9408
17.3, 9408
17.4, 9408
17.5, 9408
17.6, 9408
17.7, 9472
17.8, 9472
17.9, 9472
18, 9472
18.1, 9472
18.2, 9472
18.3, 9472
18.4, 9472
18.5, 9472
18.6, 9472
18.7, 10496
18.8, 10496
18.9, 10496
19, 10496
19.1, 10496
19.2, 10496
19.3, 10496
19.4, 10496
19.5, 10496
19.6, 10496
19.7, 9408
19.8, 9408
19.9, 9408
20, 9408
20.1, 9408
20.2, 9408
20.3, 9408
20.4, 9408
20.5, 9408
20.6, 9408
20.7, 8448
20.8, 8448
20.9, 8448
21, 8448
21.1, 8448
21.2, 8448
21.3, 8448
21.4, 8448
21.5, 8448
21.6, 8448
21.7, 8960
21.8, 8960
21.9, 8960
22, 8960
22.1, 8960
22.2, 8960
22.3, 8960
22.4, 8960
22.5, 8960
22.6, 8960
22.7, 9472
22.8, 9472
22.9, 9472
23, 9472
23.1, 9472
23.2, 9472
23.3, 9472
23.4, 9472
23.5, 9472
23.6, 9472
23.7, 9408
23.8, 9408
23.9, 9408
24, 9408
24.1, 9408
24.2, 9408
24.3, 9408
24.4, 9408
24.5, 9408
24.6, 9408
24.7, 9408
24.8, 9408
24.9, 9408
25, 9408
25.1, 9408
25.2, 9408
25.3, 9408
25.4, 9408
25.5, 9408
25.6, 9408
25.7, 11072
25.8, 11072
25.9, 11072
26, 11072
26.1, 11072
26.2, 11072
26.3, 11072
26.4, 11072
26.5, 11072
26.6, 11072
26.7, 10048
26.8, 10048
26.9, 10048
27, 10048
27.1, 10048
27.2, 10048
27.3, 10048
27.4, 10048
27.5, 10048
27.6, 10048
27.7, 9024
27.8, 9024
27.9, 9024
28, 9024
28.1, 9024
28.2, 9024
28.3, 9024
28.4, 9024
28.5, 9024
28.6, 9024
28.7, 10816
28.8, 10816
28.9, 10816
29, 10816
29.1, 10816
29.2, 10816
29.3, 10816
29.4, 10816
29.5, 10816
29.6, 10816
29.7, 11584
29.8, 11584
29.9, 11584
30, 11584
30.1, 11584
30.2, 11584
30.3, 11584
30.4, 11584
30.5, 11584
30.6, 11584
30.7, 22336
30.8, 22336
30.9, 22336
31, 22336
31.1, 22336
31.2, 22336
31.3, 22336
31.4, 22336
31.5, 22336
31.6, 22336
31.7, 50304
31.8, 50304
31.9, 50304
32, 50304
32.1, 50304
32.2, 50304
32.3, 50304
32.4, 50304
32.5, 50304
32.6, 50304
32.7, 56128
32.8, 56128
32.9, 56128
33, 56128
33.1, 56128
33.2, 56128
33.3, 56128
33.4, 56128
33.5, 56128
33.6, 56128
33.7, 57728
33.8, 57728
33.9, 57728
34, 57728
34.1, 57728
34.2, 57728
34.3, 57728
34.4, 57728
34.5, 57728
34.6, 57728
34.7, 59200
34.8, 59200
34.9, 59200
35, 59200
35.1, 59200
35.2, 59200
35.3, 59200
35.4, 59200
35.5, 59200
35.6, 59200
35.7, 59968
35.8, 59968
35.9, 59968
36, 59968
36.1, 59968
36.2, 59968
36.3, 59968
36.4, 59968
36.5, 59968
36.6, 59968
36.7, 59904
36.8, 59904
36.9, 59904
37, 59904
37.1, 59904
37.2, 59904
37.3, 59904
37.4, 59904
37.5, 59904
37.6, 59904
37.7, 59840
37.8, 59840
37.9, 59840
38, 59840
38.1, 59840
38.2, 59840
38.3, 59840
38.4, 59840
38.5, 59840
38.6, 59840
38.7, 59904
38.8, 59904
38.9, 59904
39, 59904
39.1, 59904
39.2, 59904
39.3, 59904
39.4, 59904
39.5, 59904
39.6, 59904
39.7, 60096
39.8, 60096
39.9, 60096
40, 60096
