Pixels,Value
0, 62400
0.1, 62400
0.2, 62400
0.3, 62400
0.4, 62400
0.5, 62400
0.6, 62400
0.7, 62400
0.8, 62528
0.9, 62528
1, 62528
1.1, 62528
1.2, 62528
1.3, 62528
1.4, 62528
1.5, 62528
1.6, 62528
1.7, 62528
1.8, 61120
1.9, 61120
2, 61120
2.1, 61120
2.2, 61120
2.3, 61120
2.4, 61120
2.5, 61120
2.6, 61120
2.7, 61120
2.8, 62016
2.9, 62016
3, 62016
3.1, 62016
3.2, 62016
3.3, 62016
3.4, 62016
3.5, 62016
3.6, 62016
3.7, 62016
3.8, 62336
3.9, 62336
4, 62336
4.1, 62336
4.2, 62336
4.3, 62336
4.4, 62336
4.5, 62336
4.6, 62336
4.7, 62336
4.8, 62208
4.9, 62208
5, 62208
5.1, 62208
5.2, 62208
5.3, 62208
5.4, 62208
5.5, 62208
5.6, 62208
5.7, 62208
5.8, 60736
5.9, 60736
6, 60736
6.1, 60736
6.2, 60736
6.3, 60736
6.4, 60736
6.5, 60736
6.6, 60736
6.7, 60736
6.8, 60032
6.9, 60032
7, 60032
7.1, 60032
7.2, 60032
7.3, 60032
7.4, 60032
7.5, 60032
7.6, 60032
7.7, 60032
7.8, 56768
7.9, 56768
8, 56768
8.1, 56768
8.2, 56768
8.3, 56768
8.4, 56768
8.5, 56768
8.6, 56768
8.7, 56768
8.8, 56192
8.9, 56192
9, 56192
9.1, 56192
9.2, 56192
9.3, 56192
9.4, 56192
9.5, 56192
9.6, 56192
9.7, 56192
9.8, 28672
9.9, 28672
10, 28672
10.1, 28672
10.2, 28672
10.3, 28672
10.4, 28672
10.5, 28672
10.6, 28672
10.7, 28672
10.8, 15168
10.9, 15168
11, 15168
11.1, 15168
11.2, 15168
11.3, 15168
11.4, 15168
11.5, 15168
11.6, 15168
11.7, 15168
11.8, 11712
11.9, 11712
12, 11712
12.1, 11712
12.2, 11712
12.3, 11712
12.4, 11712
12.5, 11712
12.6, 11712
12.7, 11712
12.8, 9920
12.9, 9920
13, 9920
13.1, 9920
13.2, 9920
13.3, 9920
13.4, 9920
13.5, 9920
13.6, 9920
13.7, 9920
13.8, 9472
13.9, 9472
14, 9472
14.1, 9472
14.2, 9472
14.3, 9472
14.4, 9472
14.5, 9472
14.6, 9472
14.7, 9472
14.8, 9344
14.9, 9344
15, 9344
15.1, 9344
15.2, 9344
15.3, 9344
15.4, 9344
15.5, 9344
15.6, 9344
15.7, 9344
15.8, 9600
15.9, 9600
16, 9600
16.1, 9600
16.2, 9600
16.3, 9600
16.4, 9600
16.5, 9600
16.6, 9600
16.7, 9600
16.8, 9024
16.9, 9024
17, 9024
17.1, 9024
17.2, 9024
17.3, 9024
17.4, 9024
17.5, 9024
17.6, 9024
17.7, 9024
17.8, 8832
17.9, 8832
18, 8832
18.1, 8832
18.2, 8832
18.3, 8832
18.4, 8832
18.5, 8832
18.6, 8832
18.7, 8832
18.8, 8896
18.9, 8896
19, 8896
19.1, 8896
19.2, 8896
19.3, 8896
19.4, 8896
19.5, 8896
19.6, 8896
19.7, 8896
19.8, 8512
19.9, 8512
20, 8512
20.1, 8512
20.2, 8512
20.3, 8512
20.4, 8512
20.5, 8512
20.6, 8512
20.7, 8512
20.8, 9280
20.9, 9280
21, 9280
21.1, 9280
21.2, 9280
21.3, 9280
21.4, 9280
21.5, 9280
21.6, 9280
21.7, 9280
21.8, 9536
21.9, 9536
22, 9536
22.1, 9536
22.2, 9536
22.3, 9536
22.4, 9536
22.5, 9536
22.6, 9536
22.7, 9536
22.8, 9152
22.9, 9152
23, 9152
23.1, 9152
23.2, 9152
23.3, 9152
23.4, 9152
23.5, 9152
23.6, 9152
23.7, 9152
23.8, 9664
23.9, 9664
24, 9664
24.1, 9664
24.2, 9664
24.3, 9664
24.4, 9664
24.5, 9664
24.6, 9664
24.7, 9664
24.8, 9664
24.9, 9664
25, 9664
25.1, 9664
25.2, 9664
25.3, 9664
25.4, 9664
25.5, 9664
25.6, 9664
25.7, 9664
25.8, 9920
25.9, 9920
26, 9920
26.1, 9920
26.2, 9920
26.3, 9920
26.4, 9920
26.5, 9920
26.6, 9920
26.7, 9920
26.8, 9728
26.9, 9728
27, 9728
27.1, 9728
27.2, 9728
27.3, 9728
27.4, 9728
27.5, 9728
27.6, 9728
27.7, 9728
27.8, 10688
27.9, 10688
28, 10688
28.1, 10688
28.2, 10688
28.3, 10688
28.4, 10688
28.5, 10688
28.6, 10688
28.7, 10688
28.8, 9600
28.9, 9600
29, 9600
29.1, 9600
29.2, 9600
29.3, 9600
29.4, 9600
29.5, 9600
29.6, 9600
29.7, 9600
29.8, 11200
29.9, 11200
30, 11200
30.1, 11200
30.2, 11200
30.3, 11200
30.4, 11200
30.5, 11200
30.6, 11200
30.7, 11200
30.8, 11712
30.9, 11712
31, 11712
31.1, 11712
31.2, 11712
31.3, 11712
31.4, 11712
31.5, 11712
31.6, 11712
31.7, 11712
31.8, 14400
31.9, 14400
32, 14400
32.1, 14400
32.2, 14400
32.3, 14400
32.4, 14400
32.5, 14400
32.6, 14400
32.7, 14400
32.8, 35200
32.9, 35200
33, 35200
33.1, 35200
33.2, 35200
33.3, 35200
33.4, 35200
33.5, 35200
33.6, 35200
33.7, 35200
33.8, 55680
33.9, 55680
34, 55680
34.1, 55680
34.2, 55680
34.3, 55680
34.4, 55680
34.5, 55680
34.6, 55680
34.7, 55680
34.8, 60224
34.9, 60224
35, 60224
35.1, 60224
35.2, 60224
35.3, 60224
35.4, 60224
35.5, 60224
35.6, 60224
35.7, 60224
35.8, 61376
35.9, 61376
36, 61376
36.1, 61376
36.2, 61376
36.3, 61376
36.4, 61376
36.5, 61376
36.6, 61376
36.7, 61376
36.8, 61120
36.9, 61120
37, 61120
37.1, 61120
37.2, 61120
37.3, 61120
37.4, 61120
37.5, 61120
37.6, 61120
37.7, 61120
37.8, 60352
37.9, 60352
38, 60352
38.1, 60352
38.2, 60352
38.3, 60352
38.4, 60352
38.5, 60352
38.6, 60352
38.7, 60352
38.8, 63040
38.9, 63040
39, 63040
39.1, 63040
39.2, 63040
39.3, 63040
39.4, 63040
39.5, 63040
39.6, 63040
39.7, 63040
39.8, 62080
39.9, 62080
40, 62080
40.1, 62080
40.2, 62080
40.3, 62080
40.4, 62080
40.5, 62080
40.6, 62080
40.7, 62080
40.8, 62592
40.9, 62592
41, 62592
41.1, 62592
41.2, 62592
41.3, 62592
41.4, 62592
41.5, 62592
41.6, 62592
41.7, 62592
41.8, 61120
41.9, 61120
42, 61120
42.1, 61120
42.2, 61120
42.3, 61120
42.4, 61120
42.5, 61120
42.6, 61120
42.7, 61120
42.8, 61632
42.9, 61632
43, 61632
43.1, 61632
43.2, 61632
43.3, 61632
43.4, 61632
43.5, 61632
43.6, 61632
43.7, 61632
43.8, 61568
43.9, 61568
44, 61568
44.1, 61568
44.2, 61568
44.3, 61568
44.4, 61568
44.5, 61568
44.6, 61568
44.7, 61568
44.8, 61952
44.9, 61952
45, 61952
45.1, 61952
45.2, 61952
45.3, 61952
45.4, 61952
45.5, 61952
45.6, 61952
45.7, 61952
45.8, 62016
45.9, 62016
46, 62016
46.1, 62016
46.2, 62016
46.3, 62016
46.4, 62016
46.5, 62016
46.6, 62016
46.7, 62016
46.8, 61760
46.9, 61760
47, 61760
47.1, 61760
47.2, 61760
47.3, 61760
47.4, 61760
47.5, 61760
47.6, 61760
47.7, 61760
47.8, 62080
47.9, 62080
48, 62080
48.1, 62080
48.2, 62080
48.3, 62080
48.4, 62080
48.5, 62080
48.6, 62080
48.7, 62080
48.8, 61952
48.9, 61952
49, 61952
49.1, 61952
49.2, 61952
49.3, 61952
49.4, 61952
49.5, 61952
49.6, 61952
49.7, 61952
49.8, 62784
49.9, 62784
50, 62784
50.1, 62784
50.2, 62784
50.3, 62784
50.4, 62784
50.5, 62784
50.6, 62784
50.7, 62784
50.8, 62144
50.9, 62144
51, 62144
51.1, 62144
51.2, 62144
51.3, 62144
51.4, 62144
51.5, 62144
51.6, 62144
51.7, 62144
51.8, 62400
51.9, 62400
52, 62400
52.1, 62400
52.2, 62400
52.3, 62400
52.4, 62400
52.5, 62400
52.6, 62400
52.7, 62400
52.8, 62272
52.9, 62272
53, 62272
53.1, 62272
53.2, 62272
53.3, 62272
53.4, 62272
53.5, 62272
53.6, 62272
53.7, 62272
53.8, 62272
53.9, 62272
54, 62272
54.1, 62272
54.2, 62272
54.3, 62272
54.4, 62272
54.5, 62272
54.6, 62272
54.7, 62272
54.8, 62272
54.9, 62272
55, 62272
55.1, 62272
55.2, 62272
55.3, 62272
55.4, 62272
55.5, 62272
55.6, 62272
55.7, 62272
55.8, 61952
55.9, 61952
56, 61952
56.1, 61952
56.2, 61952
56.3, 61952
56.4, 61952
56.5, 61952
56.6, 61952
56.7, 61952
56.8, 61632
56.9, 61632
57, 61632
57.1, 61632
57.2, 61632
57.3, 61632
57.4, 61632
57.5, 61632
57.6, 61632
57.7, 61632
57.8, 61440
57.9, 61440
58, 61440
58.1, 61440
58.2, 61440
58.3, 61440
58.4, 61440
58.5, 61440
58.6, 61440
58.7, 61440
58.8, 62016
58.9, 62016
59, 62016
59.1, 62016
59.2, 62016
59.3, 62016
59.4, 62016
59.5, 62016
59.6, 62016
59.7, 62016
59.8, 62656
59.9, 62656
60, 62656
60.1, 62656
60.2, 62656
60.3, 62656
60.4, 62656
60.5, 62656
60.6, 62656
60.7, 62656
60.8, 62016
60.9, 62016
61, 62016
61.1, 62016
61.2, 62016
61.3, 62016
61.4, 62016
61.5, 62016
61.6, 62016
61.7, 62016
61.8, 62720
61.9, 62720
62, 62720
62.1, 62720
62.2, 62720
62.3, 62720
62.4, 62720
62.5, 62720
62.6, 62720
62.7, 62720
62.8, 61440
62.9, 61440
63, 61440
63.1, 61440
63.2, 61440
63.3, 61440
63.4, 61440
63.5, 61440
63.6, 61440
63.7, 61440
63.8, 61888
63.9, 61888
64, 61888
64.1, 61888
64.2, 61888
64.3, 61888
64.4, 61888
64.5, 61888
64.6, 61888
64.7, 61888
64.8, 62016
64.9, 62016
65, 62016
65.1, 62016
65.2, 62016
65.3, 62016
65.4, 62016
65.5, 62016
65.6, 62016
65.7, 62016
65.8, 60800
65.9, 60800
66, 60800
66.1, 60800
66.2, 60800
66.3, 60800
66.4, 60800
66.5, 60800
66.6, 60800
66.7, 60800
66.8, 60864
66.9, 60864
67, 60864
67.1, 60864
67.2, 60864
67.3, 60864
67.4, 60864
67.5, 60864
67.6, 60864
67.7, 60864
67.8, 60928
67.9, 60928
68, 60928
68.1, 60928
68.2, 60928
68.3, 60928
68.4, 60928
68.5, 60928
68.6, 60928
68.7, 60928
68.8, 60800
68.9, 60800
69, 60800
69.1, 60800
69.2, 60800
69.3, 60800
69.4, 60800
69.5, 60800
69.6, 60800
69.7, 60800
69.8, 62144
69.9, 62144
70, 62144
70.1, 62144
70.2, 62144
70.3, 62144
70.4, 62144
70.5, 62144
70.6, 62144
70.7, 62144
70.8, 62208
70.9, 62208
71, 62208
71.1, 62208
71.2, 62208
71.3, 62208
71.4, 62208
71.5, 62208
71.6, 62208
71.7, 62208
71.8, 62656
71.9, 62656
72, 62656
72.1, 62656
72.2, 62656
72.3, 62656
72.4, 62656
72.5, 62656
72.6, 62656
72.7, 62400
72.8, 61760
72.9, 61760
73, 61760
73.1, 61760
73.2, 61760
73.3, 61760
73.4, 61760
73.5, 61760
73.6, 61760
73.7, 61760
73.8, 62016
73.9, 62016
74, 62016
74.1, 62016
74.2, 62016
74.3, 62016
74.4, 62016
74.5, 62016
74.6, 62016
74.7, 62016
74.8, 61952
74.9, 61952
75, 61952
75.1, 61952
75.2, 61952
75.3, 61952
75.4, 61952
75.5, 61952
75.6, 61952
75.7, 61952
75.8, 62784
75.9, 62784
76, 62784
76.1, 62784
76.2, 62784
76.3, 62784
76.4, 62784
76.5, 62784
76.6, 62784
76.7, 62784
76.8, 62336
76.9, 62336
77, 62336
77.1, 62336
77.2, 62336
77.3, 62336
77.4, 62336
77.5, 62336
77.6, 62336
77.7, 62336
77.8, 61760
77.9, 61760
78, 61760
78.1, 61760
78.2, 61760
78.3, 61760
78.4, 61760
78.5, 61760
78.6, 61760
78.7, 61760
78.8, 61248
78.9, 61248
79, 61248
79.1, 61248
79.2, 61248
79.3, 61248
79.4, 61248
79.5, 61248
79.6, 61248
79.7, 61248
79.8, 61120
79.9, 61120
80, 61120
80.1, 61120
80.2, 61120
80.3, 61120
80.4, 61120
80.5, 61120
80.6, 61120
80.7, 61120
80.8, 61376
80.9, 61376
81, 61376
81.1, 61376
81.2, 61376
81.3, 61376
81.4, 61376
81.5, 61376
81.6, 61376
81.7, 61376
81.8, 62784
81.9, 62784
82, 62784
82.1, 62784
82.2, 62784
82.3, 62784
82.4, 62784
82.5, 62784
82.6, 62784
82.7, 62784
82.8, 61312
82.9, 61312
83, 61312
83.1, 61312
83.2, 61312
83.3, 61312
83.4, 61312
83.5, 61312
83.6, 61312
83.7, 61312
83.8, 61376
83.9, 61376
84, 61376
84.1, 61376
84.2, 61376
84.3, 61376
84.4, 61376
84.5, 61376
84.6, 61376
84.7, 61376
84.8, 61504
84.9, 61504
85, 61504
85.1, 61504
85.2, 61504
85.3, 61504
85.4, 61504
85.5, 61504
85.6, 61504
85.7, 61504
85.8, 61120
85.9, 61120
86, 61120
86.1, 61120
86.2, 61120
86.3, 61120
86.4, 61120
86.5, 61120
86.6, 61120
86.7, 61120
86.8, 61632
86.9, 61632
87, 61632
87.1, 61632
87.2, 61632
87.3, 61632
87.4, 61632
87.5, 61632
87.6, 61632
87.7, 61632
87.8, 61184
87.9, 61184
88, 61184
88.1, 61184
88.2, 61184
88.3, 61184
88.4, 61184
88.5, 61184
88.6, 61184
88.7, 61184
88.8, 62016
88.9, 62016
89, 62016
89.1, 62016
89.2, 62016
89.3, 62016
89.4, 62016
89.5, 62016
89.6, 62016
89.7, 62016
89.8, 62272
89.9, 62272
90, 62272
90.1, 62272
90.2, 62272
90.3, 62272
90.4, 62272
90.5, 62272
90.6, 62272
90.7, 62272
90.8, 61760
90.9, 61760
91, 61760
91.1, 61760
91.2, 61760
91.3, 61760
91.4, 61760
91.5, 61760
91.6, 61760
91.7, 61760
91.8, 61376
91.9, 61376
92, 61376
92.1, 61376
92.2, 61376
92.3, 61376
92.4, 61376
92.5, 61376
92.6, 61376
92.7, 61376
92.8, 62144
92.9, 62144
93, 62144
93.1, 62144
93.2, 62144
93.3, 62144
93.4, 62144
93.5, 62144
93.6, 62144
93.7, 62144
93.8, 62336
93.9, 62336
94, 62336
94.1, 62336
94.2, 62336
94.3, 62336
94.4, 62336
94.5, 62336
94.6, 62336
94.7, 62336
94.8, 60736
94.9, 60736
95, 60736
95.1, 60736
95.2, 60736
95.3, 60736
95.4, 60736
95.5, 60736
95.6, 60736
95.7, 60736
95.8, 60608
95.9, 60608
96, 60608
96.1, 60608
96.2, 60608
96.3, 60608
96.4, 60608
96.5, 60608
96.6, 60608
96.7, 60608
96.8, 60864
96.9, 60864
97, 60864
97.1, 60864
97.2, 60864
97.3, 60864
97.4, 60864
97.5, 60864
97.6, 60864
97.7, 60864
97.8, 60992
97.9, 60992
98, 60992
98.1, 60992
98.2, 60992
98.3, 60992
98.4, 60992
98.5, 60992
98.6, 60992
98.7, 60992
98.8, 62080
98.9, 62080
99, 62080
99.1, 62080
99.2, 62080
99.3, 62080
99.4, 62080
99.5, 62080
99.6, 62080
99.7, 62080
99.8, 61504
99.9, 61504
100, 61504
100.1, 61504
100.2, 61504
100.3, 61504
100.4, 61504
100.5, 61504
100.6, 61504
100.7, 61504
100.8, 61824
100.9, 61824
101, 61824
101.1, 61824
101.2, 61824
101.3, 61824
101.4, 61824
101.5, 61824
101.6, 61824
101.7, 61824
101.8, 62592
101.9, 62592
102, 62592
102.1, 62592
102.2, 62592
102.3, 62592
102.4, 62592
102.5, 62592
102.6, 62592
102.7, 62592
102.8, 62400
102.9, 62400
103, 62400
103.1, 62400
103.2, 62400
103.3, 62400
103.4, 62400
103.5, 62400
103.6, 62400
103.7, 62400
103.8, 61760
103.9, 61760
104, 61760
104.1, 61760
104.2, 61760
104.3, 61760
104.4, 61760
104.5, 61760
104.6, 61760
104.7, 61760
104.8, 61824
104.9, 61824
105, 61824
105.1, 61824
105.2, 61824
105.3, 61824
105.4, 61824
105.5, 61824
105.6, 61824
105.7, 61824
105.8, 62464
105.9, 62464
106, 62464
106.1, 62464
106.2, 62464
106.3, 62464
106.4, 62464
106.5, 62464
106.6, 62464
106.7, 62464
106.8, 61568
106.9, 61568
107, 61568
107.1, 61568
107.2, 61568
107.3, 61568
107.4, 61568
107.5, 61568
107.6, 61568
107.7, 61568
107.8, 61440
107.9, 61440
108, 61440
108.1, 61440
108.2, 61440
108.3, 61440
108.4, 61440
108.5, 61440
108.6, 61440
108.7, 61440
108.8, 61696
108.9, 61696
109, 61696
109.1, 61696
109.2, 61696
109.3, 61696
109.4, 61696
109.5, 61696
109.6, 61696
109.7, 61696
109.8, 61760
109.9, 61760
110, 61760
110.1, 61760
110.2, 61760
110.3, 61760
110.4, 61760
110.5, 61760
110.6, 61760
110.7, 61760
110.8, 61632
110.9, 61632
111, 61632
111.1, 61632
111.2, 61632
111.3, 61632
111.4, 61632
111.5, 61632
111.6, 61632
111.7, 61632
111.8, 62272
111.9, 62272
112, 62272
112.1, 62272
112.2, 62272
112.3, 62272
112.4, 62272
112.5, 62272
112.6, 62272
112.7, 62272
112.8, 62080
112.9, 62080
113, 62080
113.1, 62080
113.2, 62080
113.3, 62080
113.4, 62080
113.5, 62080
113.6, 62080
113.7, 62080
113.8, 60608
113.9, 60608
114, 60608
114.1, 60608
114.2, 60608
114.3, 60608
114.4, 60608
114.5, 60608
114.6, 60608
114.7, 60608
114.8, 60928
114.9, 60928
115, 60928
115.1, 60928
115.2, 60928
115.3, 60928
115.4, 60928
115.5, 60928
115.6, 60928
115.7, 60928
115.8, 60864
115.9, 60864
116, 60864
116.1, 60864
116.2, 60864
116.3, 60864
116.4, 60864
116.5, 60864
116.6, 60864
116.7, 60864
116.8, 61376
116.9, 61376
117, 61376
117.1, 61376
117.2, 61376
117.3, 61376
117.4, 61376
117.5, 61376
117.6, 61376
117.7, 61376
117.8, 61248
117.9, 61248
118, 61248
118.1, 61248
118.2, 61248
118.3, 61248
118.4, 61248
118.5, 61248
118.6, 61248
118.7, 61248
118.8, 62400
118.9, 62400
119, 62400
119.1, 62400
119.2, 62400
119.3, 62400
119.4, 62400
119.5, 62400
119.6, 62400
119.7, 62400
119.8, 62464
119.9, 62464
120, 62464
120.1, 62464
120.2, 62464
120.3, 62464
120.4, 62464
120.5, 62464
120.6, 62464
120.7, 62464
120.8, 61824
120.9, 61824
121, 61824
121.1, 61824
121.2, 61824
121.3, 61824
121.4, 61824
121.5, 61824
121.6, 61824
121.7, 61824
121.8, 61760
121.9, 61760
122, 61760
122.1, 61760
122.2, 61760
122.3, 61760
122.4, 61760
122.5, 61760
122.6, 61760
122.7, 61760
122.8, 61952
122.9, 61952
123, 61952
123.1, 61952
123.2, 61952
123.3, 61952
123.4, 61952
123.5, 61952
123.6, 61952
123.7, 61952
123.8, 62400
123.9, 62400
124, 62400
124.1, 62400
124.2, 62400
124.3, 62400
124.4, 62400
124.5, 62400
124.6, 62400
124.7, 62400
124.8, 62464
124.9, 62464
125, 62464
125.1, 62464
125.2, 62464
125.3, 62464
125.4, 62464
125.5, 62464
125.6, 62464
125.7, 62464
125.8, 60672
125.9, 60672
126, 60672
126.1, 60672
126.2, 60672
126.3, 60672
126.4, 60672
126.5, 60672
126.6, 60672
126.7, 60672
126.8, 61376
126.9, 61376
127, 61376
127.1, 61376
127.2, 61376
127.3, 61376
127.4, 61376
127.5, 61376
127.6, 61376
127.7, 61376
127.8, 61184
127.9, 61184
128, 61184
128.1, 61184
128.2, 61184
128.3, 61184
128.4, 61184
128.5, 61184
128.6, 61184
128.7, 61184
128.8, 60224
128.9, 60224
129, 60224
129.1, 60224
129.2, 60224
129.3, 60224
129.4, 60224
129.5, 60224
129.6, 60224
129.7, 60224
129.8, 62016
129.9, 62016
130, 62016
130.1, 62016
130.2, 62016
130.3, 62016
130.4, 62016
130.5, 62016
130.6, 62016
130.7, 62016
130.8, 61568
130.9, 61568
131, 61568
131.1, 61568
131.2, 61568
131.3, 61568
131.4, 61568
131.5, 61568
131.6, 61568
131.7, 61568
131.8, 61376
131.9, 61376
132, 61376
132.1, 61376
132.2, 61376
132.3, 61376
132.4, 61376
132.5, 61376
132.6, 61376
132.7, 61376
132.8, 61120
132.9, 61120
133, 61120
133.1, 61120
133.2, 61120
133.3, 61120
133.4, 61120
133.5, 61120
133.6, 61120
133.7, 61120
133.8, 61184
133.9, 61184
134, 61184
134.1, 61184
134.2, 61184
134.3, 61184
134.4, 61184
134.5, 61184
134.6, 61184
134.7, 61184
134.8, 60864
134.9, 60864
135, 60864
135.1, 60864
135.2, 60864
135.3, 60864
135.4, 60864
135.5, 60864
135.6, 60864
135.7, 60864
135.8, 59584
135.9, 59584
136, 59584
136.1, 59584
136.2, 59584
136.3, 59584
136.4, 59584
136.5, 59584
136.6, 59584
136.7, 59584
136.8, 60096
136.9, 60096
137, 60096
137.1, 60096
137.2, 60096
137.3, 60096
137.4, 60096
137.5, 60096
137.6, 60096
137.7, 60096
137.8, 60224
137.9, 60224
138, 60224
138.1, 60224
138.2, 60224
138.3, 60224
138.4, 60224
138.5, 60224
138.6, 60224
138.7, 60224
138.8, 58816
138.9, 58816
139, 58816
139.1, 58816
139.2, 58816
139.3, 58816
139.4, 58816
139.5, 58816
139.6, 58816
139.7, 58816
139.8, 59264
139.9, 59264
140, 59264
140.1, 59264
140.2, 59264
140.3, 59264
140.4, 59264
140.5, 59264
140.6, 59264
140.7, 59264
140.8, 59072
140.9, 59072
141, 59072
141.1, 59072
141.2, 59072
141.3, 59072
141.4, 59072
141.5, 59072
141.6, 59072
141.7, 59072
141.8, 51200
141.9, 51200
142, 51200
142.1, 51200
142.2, 51200
142.3, 51200
142.4, 51200
142.5, 51200
142.6, 51200
142.7, 51200
142.8, 28608
142.9, 28608
143, 28608
143.1, 28608
143.2, 28608
143.3, 28608
143.4, 28608
143.5, 28608
143.6, 28608
143.7, 28608
143.8, 15936
143.9, 15936
144, 15936
144.1, 15936
144.2, 15936
144.3, 15936
144.4, 15936
144.5, 15936
144.6, 15936
144.7, 15936
144.8, 13696
144.9, 13696
145, 13696
145.1, 13696
145.2, 13696
145.3, 13696
145.4, 13696
145.5, 13696
145.6, 13696
145.7, 13696
145.8, 12608
145.9, 12608
146, 12608
146.1, 12608
146.2, 12608
146.3, 12608
146.4, 12608
146.5, 12608
146.6, 12608
146.7, 12608
146.8, 10944
146.9, 10944
147, 10944
147.1, 10944
147.2, 10944
147.3, 10944
147.4, 10944
147.5, 10944
147.6, 10944
147.7, 10944
147.8, 10816
147.9, 10816
148, 10816
148.1, 10816
148.2, 10816
148.3, 10816
148.4, 10816
148.5, 10816
148.6, 10816
148.7, 10816
148.8, 10816
148.9, 10816
149, 10816
149.1, 10816
149.2, 10816
149.3, 10816
149.4, 10816
149.5, 10816
149.6, 10816
149.7, 10816
149.8, 11008
149.9, 11008
150, 11008
150.1, 11008
150.2, 11008
150.3, 11008
150.4, 11008
150.5, 11008
150.6, 11008
150.7, 11008
150.8, 10944
150.9, 10944
151, 10944
151.1, 10944
151.2, 10944
151.3, 10944
151.4, 10944
151.5, 10944
151.6, 10944
151.7, 10944
151.8, 11008
151.9, 11008
152, 11008
152.1, 11008
152.2, 11008
152.3, 11008
152.4, 11008
152.5, 11008
152.6, 11008
152.7, 11008
152.8, 11200
152.9, 11200
153, 11200
153.1, 11200
153.2, 11200
153.3, 11200
153.4, 11200
153.5, 11200
153.6, 11200
153.7, 11200
153.8, 10816
153.9, 10816
154, 10816
154.1, 10816
154.2, 10816
154.3, 10816
154.4, 10816
154.5, 10816
154.6, 10816
154.7, 10816
154.8, 10816
154.9, 10816
155, 10816
155.1, 10816
155.2, 10816
155.3, 10816
155.4, 10816
155.5, 10816
155.6, 10816
155.7, 10816
155.8, 11264
155.9, 11264
156, 11264
156.1, 11264
156.2, 11264
156.3, 11264
156.4, 11264
156.5, 11264
156.6, 11264
156.7, 11264
156.8, 11584
156.9, 11584
157, 11584
157.1, 11584
157.2, 11584
157.3, 11584
157.4, 11584
157.5, 11584
157.6, 11584
157.7, 11584
157.8, 13312
157.9, 13312
158, 13312
158.1, 13312
158.2, 13312
158.3, 13312
158.4, 13312
158.5, 13312
158.6, 13312
158.7, 13312
158.8, 13760
158.9, 13760
159, 13760
159.1, 13760
159.2, 13760
159.3, 13760
159.4, 13760
159.5, 13760
159.6, 13760
159.7, 13760
159.8, 12608
159.9, 12608
160, 12608
160.1, 12608
160.2, 12608
160.3, 12608
160.4, 12608
160.5, 12608
160.6, 12608
160.7, 12608
160.8, 12608
160.9, 12608
161, 12608
161.1, 12608
161.2, 12608
161.3, 12608
161.4, 12608
161.5, 12608
161.6, 12608
161.7, 12608
161.8, 14784
161.9, 14784
162, 14784
162.1, 14784
162.2, 14784
162.3, 14784
162.4, 14784
162.5, 14784
162.6, 14784
162.7, 14784
162.8, 15552
162.9, 15552
163, 15552
163.1, 15552
163.2, 15552
163.3, 15552
163.4, 15552
163.5, 15552
163.6, 15552
163.7, 15552
163.8, 20160
163.9, 20160
164, 20160
164.1, 20160
164.2, 20160
164.3, 20160
164.4, 20160
164.5, 20160
164.6, 20160
164.7, 20160
164.8, 39872
164.9, 39872
165, 39872
165.1, 39872
165.2, 39872
165.3, 39872
165.4, 39872
